Date: 2022-07-11 16:41:56s, Time_Cost: 15s, Epoch: [73/250], Train_PSNR: 22.31, Val_PSNR: 27.09, Val_SSIM: 0.8402
Date: 2022-07-11 16:42:11s, Time_Cost: 15s, Epoch: [74/250], Train_PSNR: 22.26, Val_PSNR: 26.11, Val_SSIM: 0.8360
Date: 2022-07-11 16:42:26s, Time_Cost: 15s, Epoch: [75/250], Train_PSNR: 22.45, Val_PSNR: 26.91, Val_SSIM: 0.8396
Date: 2022-07-11 16:42:42s, Time_Cost: 15s, Epoch: [76/250], Train_PSNR: 22.51, Val_PSNR: 27.75, Val_SSIM: 0.8432
Date: 2022-07-11 16:42:57s, Time_Cost: 15s, Epoch: [77/250], Train_PSNR: 22.46, Val_PSNR: 26.45, Val_SSIM: 0.8397
Date: 2022-07-11 16:43:13s, Time_Cost: 15s, Epoch: [78/250], Train_PSNR: 22.33, Val_PSNR: 26.04, Val_SSIM: 0.8365
Date: 2022-07-11 16:43:28s, Time_Cost: 15s, Epoch: [79/250], Train_PSNR: 22.15, Val_PSNR: 26.71, Val_SSIM: 0.8422
Date: 2022-07-11 16:43:44s, Time_Cost: 15s, Epoch: [80/250], Train_PSNR: 22.60, Val_PSNR: 26.00, Val_SSIM: 0.8393
Date: 2022-07-11 16:43:59s, Time_Cost: 15s, Epoch: [81/250], Train_PSNR: 22.60, Val_PSNR: 27.47, Val_SSIM: 0.8464
Date: 2022-07-11 16:44:14s, Time_Cost: 15s, Epoch: [82/250], Train_PSNR: 22.67, Val_PSNR: 27.12, Val_SSIM: 0.8455
Date: 2022-07-11 16:44:30s, Time_Cost: 15s, Epoch: [83/250], Train_PSNR: 22.70, Val_PSNR: 26.64, Val_SSIM: 0.8444
Date: 2022-07-11 16:44:45s, Time_Cost: 15s, Epoch: [84/250], Train_PSNR: 22.72, Val_PSNR: 26.75, Val_SSIM: 0.8476
Date: 2022-07-11 16:45:01s, Time_Cost: 15s, Epoch: [85/250], Train_PSNR: 22.55, Val_PSNR: 26.44, Val_SSIM: 0.8406
Date: 2022-07-11 16:45:16s, Time_Cost: 15s, Epoch: [86/250], Train_PSNR: 22.57, Val_PSNR: 26.68, Val_SSIM: 0.8461
Date: 2022-07-11 16:45:31s, Time_Cost: 15s, Epoch: [87/250], Train_PSNR: 22.72, Val_PSNR: 27.22, Val_SSIM: 0.8483
Date: 2022-07-11 16:45:47s, Time_Cost: 15s, Epoch: [88/250], Train_PSNR: 22.51, Val_PSNR: 27.37, Val_SSIM: 0.8431
Date: 2022-07-11 16:46:02s, Time_Cost: 15s, Epoch: [89/250], Train_PSNR: 22.49, Val_PSNR: 26.88, Val_SSIM: 0.8491
Date: 2022-07-11 16:46:17s, Time_Cost: 15s, Epoch: [90/250], Train_PSNR: 22.43, Val_PSNR: 26.67, Val_SSIM: 0.8470
Date: 2022-07-11 16:46:33s, Time_Cost: 15s, Epoch: [91/250], Train_PSNR: 22.50, Val_PSNR: 27.45, Val_SSIM: 0.8503
Date: 2022-07-11 16:46:48s, Time_Cost: 15s, Epoch: [92/250], Train_PSNR: 22.75, Val_PSNR: 27.08, Val_SSIM: 0.8469
Date: 2022-07-11 16:47:04s, Time_Cost: 16s, Epoch: [93/250], Train_PSNR: 22.88, Val_PSNR: 27.76, Val_SSIM: 0.8535
Date: 2022-07-11 16:47:19s, Time_Cost: 15s, Epoch: [94/250], Train_PSNR: 22.83, Val_PSNR: 27.22, Val_SSIM: 0.8526
Date: 2022-07-11 16:47:35s, Time_Cost: 15s, Epoch: [95/250], Train_PSNR: 22.75, Val_PSNR: 27.92, Val_SSIM: 0.8542
Date: 2022-07-11 16:47:50s, Time_Cost: 15s, Epoch: [96/250], Train_PSNR: 22.62, Val_PSNR: 27.67, Val_SSIM: 0.8480
Date: 2022-07-11 16:48:06s, Time_Cost: 15s, Epoch: [97/250], Train_PSNR: 22.86, Val_PSNR: 27.07, Val_SSIM: 0.8527
Date: 2022-07-11 16:48:21s, Time_Cost: 15s, Epoch: [98/250], Train_PSNR: 22.73, Val_PSNR: 27.64, Val_SSIM: 0.8562
Date: 2022-07-11 16:48:36s, Time_Cost: 15s, Epoch: [99/250], Train_PSNR: 22.78, Val_PSNR: 27.33, Val_SSIM: 0.8509
Date: 2022-07-11 16:48:52s, Time_Cost: 15s, Epoch: [100/250], Train_PSNR: 22.84, Val_PSNR: 27.03, Val_SSIM: 0.8525
Date: 2022-07-11 16:49:07s, Time_Cost: 15s, Epoch: [101/250], Train_PSNR: 22.88, Val_PSNR: 27.59, Val_SSIM: 0.8587
Date: 2022-07-11 16:49:22s, Time_Cost: 15s, Epoch: [102/250], Train_PSNR: 22.97, Val_PSNR: 27.45, Val_SSIM: 0.8545
Date: 2022-07-11 16:49:38s, Time_Cost: 15s, Epoch: [103/250], Train_PSNR: 23.05, Val_PSNR: 26.57, Val_SSIM: 0.8536
Date: 2022-07-11 16:49:53s, Time_Cost: 15s, Epoch: [104/250], Train_PSNR: 22.98, Val_PSNR: 27.31, Val_SSIM: 0.8559
Date: 2022-07-11 16:50:09s, Time_Cost: 15s, Epoch: [105/250], Train_PSNR: 23.04, Val_PSNR: 27.62, Val_SSIM: 0.8576
