Date: 2022-07-13 01:24:11s, Time_Cost: 9s, Epoch: [123/2000], Train_PSNR: 26.79, Val_PSNR: 31.26, Val_SSIM: 0.9502
Date: 2022-07-13 01:24:20s, Time_Cost: 9s, Epoch: [124/2000], Train_PSNR: 26.78, Val_PSNR: 31.08, Val_SSIM: 0.9498
Date: 2022-07-13 01:24:28s, Time_Cost: 9s, Epoch: [125/2000], Train_PSNR: 26.78, Val_PSNR: 31.28, Val_SSIM: 0.9507
Date: 2022-07-13 01:24:37s, Time_Cost: 9s, Epoch: [126/2000], Train_PSNR: 26.80, Val_PSNR: 31.35, Val_SSIM: 0.9511
Date: 2022-07-13 01:24:46s, Time_Cost: 9s, Epoch: [127/2000], Train_PSNR: 26.84, Val_PSNR: 30.80, Val_SSIM: 0.9509
Date: 2022-07-13 01:24:55s, Time_Cost: 9s, Epoch: [128/2000], Train_PSNR: 26.92, Val_PSNR: 30.74, Val_SSIM: 0.9509
Date: 2022-07-13 01:25:04s, Time_Cost: 9s, Epoch: [129/2000], Train_PSNR: 26.90, Val_PSNR: 30.30, Val_SSIM: 0.9507
Date: 2022-07-13 01:25:13s, Time_Cost: 9s, Epoch: [130/2000], Train_PSNR: 26.90, Val_PSNR: 30.74, Val_SSIM: 0.9500
Date: 2022-07-13 01:25:21s, Time_Cost: 9s, Epoch: [131/2000], Train_PSNR: 26.95, Val_PSNR: 30.67, Val_SSIM: 0.9498
Date: 2022-07-13 01:25:30s, Time_Cost: 9s, Epoch: [132/2000], Train_PSNR: 26.94, Val_PSNR: 32.35, Val_SSIM: 0.9503
Date: 2022-07-13 01:25:39s, Time_Cost: 9s, Epoch: [133/2000], Train_PSNR: 26.97, Val_PSNR: 30.32, Val_SSIM: 0.9516
Date: 2022-07-13 01:25:48s, Time_Cost: 9s, Epoch: [134/2000], Train_PSNR: 26.99, Val_PSNR: 30.76, Val_SSIM: 0.9504
Date: 2022-07-13 01:25:57s, Time_Cost: 9s, Epoch: [135/2000], Train_PSNR: 27.01, Val_PSNR: 30.31, Val_SSIM: 0.9510
Date: 2022-07-13 01:26:06s, Time_Cost: 9s, Epoch: [136/2000], Train_PSNR: 27.05, Val_PSNR: 30.77, Val_SSIM: 0.9511
Date: 2022-07-13 01:26:15s, Time_Cost: 9s, Epoch: [137/2000], Train_PSNR: 27.07, Val_PSNR: 31.42, Val_SSIM: 0.9513
Date: 2022-07-13 01:26:23s, Time_Cost: 9s, Epoch: [138/2000], Train_PSNR: 27.10, Val_PSNR: 30.70, Val_SSIM: 0.9498
Date: 2022-07-13 01:26:32s, Time_Cost: 9s, Epoch: [139/2000], Train_PSNR: 27.10, Val_PSNR: 30.67, Val_SSIM: 0.9501
Date: 2022-07-13 01:26:41s, Time_Cost: 9s, Epoch: [140/2000], Train_PSNR: 27.12, Val_PSNR: 30.25, Val_SSIM: 0.9505
Date: 2022-07-13 01:26:50s, Time_Cost: 9s, Epoch: [141/2000], Train_PSNR: 27.09, Val_PSNR: 30.71, Val_SSIM: 0.9497
Date: 2022-07-13 01:26:58s, Time_Cost: 9s, Epoch: [142/2000], Train_PSNR: 27.12, Val_PSNR: 30.29, Val_SSIM: 0.9505
Date: 2022-07-13 01:27:07s, Time_Cost: 9s, Epoch: [143/2000], Train_PSNR: 27.13, Val_PSNR: 30.86, Val_SSIM: 0.9508
Date: 2022-07-13 01:27:16s, Time_Cost: 9s, Epoch: [144/2000], Train_PSNR: 27.17, Val_PSNR: 30.25, Val_SSIM: 0.9509
Date: 2022-07-13 01:27:25s, Time_Cost: 9s, Epoch: [145/2000], Train_PSNR: 27.21, Val_PSNR: 31.39, Val_SSIM: 0.9506
Date: 2022-07-13 01:27:34s, Time_Cost: 9s, Epoch: [146/2000], Train_PSNR: 27.19, Val_PSNR: 30.22, Val_SSIM: 0.9502
Date: 2022-07-13 01:27:43s, Time_Cost: 9s, Epoch: [147/2000], Train_PSNR: 27.23, Val_PSNR: 30.85, Val_SSIM: 0.9503
Date: 2022-07-13 01:27:51s, Time_Cost: 9s, Epoch: [148/2000], Train_PSNR: 27.25, Val_PSNR: 30.28, Val_SSIM: 0.9505
Date: 2022-07-13 01:28:00s, Time_Cost: 9s, Epoch: [149/2000], Train_PSNR: 27.29, Val_PSNR: 29.76, Val_SSIM: 0.9510
Date: 2022-07-13 01:28:09s, Time_Cost: 9s, Epoch: [150/2000], Train_PSNR: 27.25, Val_PSNR: 29.70, Val_SSIM: 0.9506
Date: 2022-07-13 01:28:18s, Time_Cost: 9s, Epoch: [151/2000], Train_PSNR: 27.26, Val_PSNR: 31.83, Val_SSIM: 0.9501
