Date: 2022-07-21 20:17:09s, Time_Cost: 123s, Epoch: [76/100], Train_PSNR: 29.76, Val_PSNR: 26.42, Val_SSIM: 0.9581
Date: 2022-07-21 20:19:12s, Time_Cost: 123s, Epoch: [77/100], Train_PSNR: 30.15, Val_PSNR: 26.26, Val_SSIM: 0.9573
Date: 2022-07-21 20:21:14s, Time_Cost: 123s, Epoch: [78/100], Train_PSNR: 30.25, Val_PSNR: 25.50, Val_SSIM: 0.9556
Date: 2022-07-21 20:23:17s, Time_Cost: 123s, Epoch: [79/100], Train_PSNR: 30.07, Val_PSNR: 26.15, Val_SSIM: 0.9577
Date: 2022-07-21 20:25:20s, Time_Cost: 123s, Epoch: [80/100], Train_PSNR: 29.90, Val_PSNR: 27.14, Val_SSIM: 0.9584
Date: 2022-07-21 20:27:23s, Time_Cost: 123s, Epoch: [81/100], Train_PSNR: 30.11, Val_PSNR: 26.48, Val_SSIM: 0.9573
Date: 2022-07-21 20:29:25s, Time_Cost: 123s, Epoch: [82/100], Train_PSNR: 30.12, Val_PSNR: 25.96, Val_SSIM: 0.9580
Date: 2022-07-21 20:31:28s, Time_Cost: 123s, Epoch: [83/100], Train_PSNR: 29.69, Val_PSNR: 26.53, Val_SSIM: 0.9593
Date: 2022-07-21 20:33:31s, Time_Cost: 123s, Epoch: [84/100], Train_PSNR: 30.11, Val_PSNR: 25.77, Val_SSIM: 0.9578
Date: 2022-07-21 20:35:33s, Time_Cost: 123s, Epoch: [85/100], Train_PSNR: 30.39, Val_PSNR: 26.37, Val_SSIM: 0.9595
Date: 2022-07-21 20:37:36s, Time_Cost: 123s, Epoch: [86/100], Train_PSNR: 30.28, Val_PSNR: 26.08, Val_SSIM: 0.9587
Date: 2022-07-21 20:39:39s, Time_Cost: 123s, Epoch: [87/100], Train_PSNR: 24.97, Val_PSNR: 28.48, Val_SSIM: 0.9597
Date: 2022-07-21 20:41:42s, Time_Cost: 123s, Epoch: [88/100], Train_PSNR: 29.13, Val_PSNR: 25.90, Val_SSIM: 0.9576
Date: 2022-07-21 20:43:45s, Time_Cost: 123s, Epoch: [89/100], Train_PSNR: 30.17, Val_PSNR: 26.07, Val_SSIM: 0.9585
