Date: 2022-07-14 19:04:41s, Time_Cost: 102s, Epoch: [54/300], Train_PSNR: 30.16, Val_PSNR: 28.02, Val_SSIM: 0.9497
Date: 2022-07-14 19:06:23s, Time_Cost: 102s, Epoch: [55/300], Train_PSNR: 29.91, Val_PSNR: 26.98, Val_SSIM: 0.9429
Date: 2022-07-14 19:08:05s, Time_Cost: 102s, Epoch: [56/300], Train_PSNR: 30.44, Val_PSNR: 26.70, Val_SSIM: 0.9415
Date: 2022-07-14 19:09:47s, Time_Cost: 102s, Epoch: [57/300], Train_PSNR: 26.72, Val_PSNR: 24.38, Val_SSIM: 0.9292
Date: 2022-07-14 19:11:29s, Time_Cost: 102s, Epoch: [58/300], Train_PSNR: 22.42, Val_PSNR: 24.92, Val_SSIM: 0.9415
Date: 2022-07-14 19:13:11s, Time_Cost: 102s, Epoch: [59/300], Train_PSNR: 23.74, Val_PSNR: 25.21, Val_SSIM: 0.9420
Date: 2022-07-14 19:14:53s, Time_Cost: 102s, Epoch: [60/300], Train_PSNR: 25.10, Val_PSNR: 26.66, Val_SSIM: 0.9373
Date: 2022-07-14 19:16:36s, Time_Cost: 102s, Epoch: [61/300], Train_PSNR: 26.53, Val_PSNR: 27.10, Val_SSIM: 0.9450
Date: 2022-07-14 19:18:18s, Time_Cost: 102s, Epoch: [62/300], Train_PSNR: 28.14, Val_PSNR: 25.92, Val_SSIM: 0.9411
Date: 2022-07-14 19:20:00s, Time_Cost: 102s, Epoch: [63/300], Train_PSNR: 29.25, Val_PSNR: 26.61, Val_SSIM: 0.9410
Date: 2022-07-14 19:21:42s, Time_Cost: 102s, Epoch: [64/300], Train_PSNR: 29.80, Val_PSNR: 25.21, Val_SSIM: 0.9361
Date: 2022-07-14 19:23:24s, Time_Cost: 102s, Epoch: [65/300], Train_PSNR: 30.04, Val_PSNR: 25.92, Val_SSIM: 0.9361
Date: 2022-07-14 19:25:07s, Time_Cost: 102s, Epoch: [66/300], Train_PSNR: 30.26, Val_PSNR: 25.63, Val_SSIM: 0.9386
Date: 2022-07-14 19:26:49s, Time_Cost: 102s, Epoch: [67/300], Train_PSNR: 30.41, Val_PSNR: 26.16, Val_SSIM: 0.9405
Date: 2022-07-14 19:28:31s, Time_Cost: 102s, Epoch: [68/300], Train_PSNR: 30.47, Val_PSNR: 26.05, Val_SSIM: 0.9384
Date: 2022-07-14 19:30:13s, Time_Cost: 102s, Epoch: [69/300], Train_PSNR: 30.56, Val_PSNR: 25.38, Val_SSIM: 0.9366
Date: 2022-07-14 19:31:56s, Time_Cost: 102s, Epoch: [70/300], Train_PSNR: 30.62, Val_PSNR: 25.91, Val_SSIM: 0.9412
Date: 2022-07-14 19:33:38s, Time_Cost: 102s, Epoch: [71/300], Train_PSNR: 30.63, Val_PSNR: 25.82, Val_SSIM: 0.9408
Date: 2022-07-14 19:35:20s, Time_Cost: 102s, Epoch: [72/300], Train_PSNR: 30.70, Val_PSNR: 26.59, Val_SSIM: 0.9436
Date: 2022-07-14 19:37:02s, Time_Cost: 102s, Epoch: [73/300], Train_PSNR: 30.01, Val_PSNR: 25.81, Val_SSIM: 0.9410
Date: 2022-07-14 19:38:45s, Time_Cost: 102s, Epoch: [74/300], Train_PSNR: 30.63, Val_PSNR: 26.17, Val_SSIM: 0.9401
Date: 2022-07-14 19:40:27s, Time_Cost: 103s, Epoch: [75/300], Train_PSNR: 30.87, Val_PSNR: 26.06, Val_SSIM: 0.9395
Date: 2022-07-14 19:42:09s, Time_Cost: 102s, Epoch: [76/300], Train_PSNR: 30.88, Val_PSNR: 26.24, Val_SSIM: 0.9432
Date: 2022-07-14 19:43:52s, Time_Cost: 102s, Epoch: [77/300], Train_PSNR: 30.88, Val_PSNR: 26.03, Val_SSIM: 0.9397
Date: 2022-07-14 19:45:34s, Time_Cost: 102s, Epoch: [78/300], Train_PSNR: 30.88, Val_PSNR: 26.46, Val_SSIM: 0.9412
Date: 2022-07-14 19:47:17s, Time_Cost: 103s, Epoch: [79/300], Train_PSNR: 30.81, Val_PSNR: 26.43, Val_SSIM: 0.9437
Date: 2022-07-14 19:48:59s, Time_Cost: 102s, Epoch: [80/300], Train_PSNR: 30.93, Val_PSNR: 26.30, Val_SSIM: 0.9414
Date: 2022-07-14 19:50:42s, Time_Cost: 102s, Epoch: [81/300], Train_PSNR: 30.83, Val_PSNR: 26.02, Val_SSIM: 0.9424
Date: 2022-07-14 19:52:24s, Time_Cost: 102s, Epoch: [82/300], Train_PSNR: 30.63, Val_PSNR: 26.83, Val_SSIM: 0.9465
Date: 2022-07-14 19:54:06s, Time_Cost: 102s, Epoch: [83/300], Train_PSNR: 29.48, Val_PSNR: 26.05, Val_SSIM: 0.9449
Date: 2022-07-14 19:55:48s, Time_Cost: 102s, Epoch: [84/300], Train_PSNR: 30.56, Val_PSNR: 26.65, Val_SSIM: 0.9435
Date: 2022-07-14 19:57:31s, Time_Cost: 102s, Epoch: [85/300], Train_PSNR: 31.04, Val_PSNR: 25.80, Val_SSIM: 0.9394
Date: 2022-07-14 19:59:14s, Time_Cost: 103s, Epoch: [86/300], Train_PSNR: 31.17, Val_PSNR: 26.50, Val_SSIM: 0.9421
Date: 2022-07-14 20:00:56s, Time_Cost: 102s, Epoch: [87/300], Train_PSNR: 31.20, Val_PSNR: 26.04, Val_SSIM: 0.9440
Date: 2022-07-14 20:02:39s, Time_Cost: 103s, Epoch: [88/300], Train_PSNR: 31.19, Val_PSNR: 26.11, Val_SSIM: 0.9438
Date: 2022-07-14 20:04:21s, Time_Cost: 102s, Epoch: [89/300], Train_PSNR: 31.14, Val_PSNR: 25.52, Val_SSIM: 0.9376
Date: 2022-07-14 20:06:04s, Time_Cost: 103s, Epoch: [90/300], Train_PSNR: 31.11, Val_PSNR: 25.19, Val_SSIM: 0.9381
Date: 2022-07-14 20:07:46s, Time_Cost: 102s, Epoch: [91/300], Train_PSNR: 29.58, Val_PSNR: 27.57, Val_SSIM: 0.9434
Date: 2022-07-14 20:09:28s, Time_Cost: 102s, Epoch: [92/300], Train_PSNR: 30.23, Val_PSNR: 25.79, Val_SSIM: 0.9369
Date: 2022-07-14 20:11:11s, Time_Cost: 102s, Epoch: [93/300], Train_PSNR: 31.21, Val_PSNR: 25.99, Val_SSIM: 0.9438
Date: 2022-07-14 20:12:53s, Time_Cost: 103s, Epoch: [94/300], Train_PSNR: 31.39, Val_PSNR: 25.81, Val_SSIM: 0.9418
Date: 2022-07-14 20:14:36s, Time_Cost: 102s, Epoch: [95/300], Train_PSNR: 31.36, Val_PSNR: 26.17, Val_SSIM: 0.9429
Date: 2022-07-14 20:16:18s, Time_Cost: 102s, Epoch: [96/300], Train_PSNR: 31.38, Val_PSNR: 26.30, Val_SSIM: 0.9439
Date: 2022-07-14 20:18:00s, Time_Cost: 102s, Epoch: [97/300], Train_PSNR: 31.36, Val_PSNR: 26.10, Val_SSIM: 0.9459
Date: 2022-07-14 20:19:43s, Time_Cost: 103s, Epoch: [98/300], Train_PSNR: 31.25, Val_PSNR: 26.50, Val_SSIM: 0.9450
Date: 2022-07-14 20:21:26s, Time_Cost: 102s, Epoch: [99/300], Train_PSNR: 31.32, Val_PSNR: 26.66, Val_SSIM: 0.9436
Date: 2022-07-14 20:23:08s, Time_Cost: 102s, Epoch: [100/300], Train_PSNR: 31.31, Val_PSNR: 25.93, Val_SSIM: 0.9414
Date: 2022-07-14 20:24:50s, Time_Cost: 103s, Epoch: [101/300], Train_PSNR: 31.70, Val_PSNR: 25.91, Val_SSIM: 0.9424
Date: 2022-07-14 20:26:33s, Time_Cost: 102s, Epoch: [102/300], Train_PSNR: 31.81, Val_PSNR: 26.14, Val_SSIM: 0.9422
Date: 2022-07-14 20:28:15s, Time_Cost: 102s, Epoch: [103/300], Train_PSNR: 31.82, Val_PSNR: 26.19, Val_SSIM: 0.9428
Date: 2022-07-14 20:29:58s, Time_Cost: 103s, Epoch: [104/300], Train_PSNR: 31.83, Val_PSNR: 25.87, Val_SSIM: 0.9421
Date: 2022-07-14 20:31:41s, Time_Cost: 102s, Epoch: [105/300], Train_PSNR: 31.78, Val_PSNR: 25.62, Val_SSIM: 0.9391
Date: 2022-07-14 20:33:23s, Time_Cost: 102s, Epoch: [106/300], Train_PSNR: 31.27, Val_PSNR: 26.31, Val_SSIM: 0.9412
Date: 2022-07-14 20:35:05s, Time_Cost: 102s, Epoch: [107/300], Train_PSNR: 31.75, Val_PSNR: 25.72, Val_SSIM: 0.9397
Date: 2022-07-14 20:36:48s, Time_Cost: 102s, Epoch: [108/300], Train_PSNR: 31.88, Val_PSNR: 26.22, Val_SSIM: 0.9386
Date: 2022-07-14 20:38:30s, Time_Cost: 103s, Epoch: [109/300], Train_PSNR: 31.89, Val_PSNR: 25.76, Val_SSIM: 0.9395
Date: 2022-07-14 20:40:13s, Time_Cost: 102s, Epoch: [110/300], Train_PSNR: 31.91, Val_PSNR: 25.53, Val_SSIM: 0.9407
Date: 2022-07-14 20:41:55s, Time_Cost: 103s, Epoch: [111/300], Train_PSNR: 31.92, Val_PSNR: 26.10, Val_SSIM: 0.9403
Date: 2022-07-14 20:43:38s, Time_Cost: 103s, Epoch: [112/300], Train_PSNR: 31.90, Val_PSNR: 26.00, Val_SSIM: 0.9408
Date: 2022-07-14 20:45:21s, Time_Cost: 103s, Epoch: [113/300], Train_PSNR: 31.93, Val_PSNR: 25.59, Val_SSIM: 0.9401
Date: 2022-07-14 20:47:03s, Time_Cost: 103s, Epoch: [114/300], Train_PSNR: 31.97, Val_PSNR: 25.76, Val_SSIM: 0.9402
Date: 2022-07-14 20:48:46s, Time_Cost: 102s, Epoch: [115/300], Train_PSNR: 31.96, Val_PSNR: 26.15, Val_SSIM: 0.9433
Date: 2022-07-14 20:50:28s, Time_Cost: 103s, Epoch: [116/300], Train_PSNR: 31.98, Val_PSNR: 25.96, Val_SSIM: 0.9394
Date: 2022-07-14 20:52:11s, Time_Cost: 103s, Epoch: [117/300], Train_PSNR: 31.96, Val_PSNR: 26.04, Val_SSIM: 0.9426
Date: 2022-07-14 20:53:54s, Time_Cost: 103s, Epoch: [118/300], Train_PSNR: 31.97, Val_PSNR: 26.02, Val_SSIM: 0.9423
Date: 2022-07-14 20:55:36s, Time_Cost: 103s, Epoch: [119/300], Train_PSNR: 31.99, Val_PSNR: 25.76, Val_SSIM: 0.9419
Date: 2022-07-14 20:57:19s, Time_Cost: 103s, Epoch: [120/300], Train_PSNR: 32.03, Val_PSNR: 25.20, Val_SSIM: 0.9393
Date: 2022-07-14 20:59:02s, Time_Cost: 103s, Epoch: [121/300], Train_PSNR: 32.02, Val_PSNR: 25.76, Val_SSIM: 0.9409
Date: 2022-07-14 21:00:44s, Time_Cost: 103s, Epoch: [122/300], Train_PSNR: 31.95, Val_PSNR: 26.37, Val_SSIM: 0.9426
Date: 2022-07-14 21:02:27s, Time_Cost: 103s, Epoch: [123/300], Train_PSNR: 32.08, Val_PSNR: 25.36, Val_SSIM: 0.9386
Date: 2022-07-14 21:04:10s, Time_Cost: 103s, Epoch: [124/300], Train_PSNR: 32.08, Val_PSNR: 25.66, Val_SSIM: 0.9417
Date: 2022-07-14 21:05:52s, Time_Cost: 103s, Epoch: [125/300], Train_PSNR: 31.99, Val_PSNR: 25.68, Val_SSIM: 0.9417
Date: 2022-07-14 21:07:35s, Time_Cost: 103s, Epoch: [126/300], Train_PSNR: 32.10, Val_PSNR: 25.92, Val_SSIM: 0.9402
Date: 2022-07-14 21:09:18s, Time_Cost: 103s, Epoch: [127/300], Train_PSNR: 32.12, Val_PSNR: 25.39, Val_SSIM: 0.9401
Date: 2022-07-14 21:11:01s, Time_Cost: 103s, Epoch: [128/300], Train_PSNR: 32.16, Val_PSNR: 26.33, Val_SSIM: 0.9416
Date: 2022-07-14 21:12:43s, Time_Cost: 103s, Epoch: [129/300], Train_PSNR: 32.18, Val_PSNR: 25.49, Val_SSIM: 0.9394
Date: 2022-07-14 21:14:26s, Time_Cost: 103s, Epoch: [130/300], Train_PSNR: 32.16, Val_PSNR: 25.44, Val_SSIM: 0.9385
Date: 2022-07-14 21:16:08s, Time_Cost: 103s, Epoch: [131/300], Train_PSNR: 32.18, Val_PSNR: 25.77, Val_SSIM: 0.9396
Date: 2022-07-14 21:17:51s, Time_Cost: 103s, Epoch: [132/300], Train_PSNR: 32.16, Val_PSNR: 25.68, Val_SSIM: 0.9379
Date: 2022-07-14 21:19:34s, Time_Cost: 103s, Epoch: [133/300], Train_PSNR: 32.16, Val_PSNR: 25.59, Val_SSIM: 0.9389
Date: 2022-07-14 21:21:16s, Time_Cost: 103s, Epoch: [134/300], Train_PSNR: 32.22, Val_PSNR: 25.66, Val_SSIM: 0.9394
Date: 2022-07-14 21:22:59s, Time_Cost: 103s, Epoch: [135/300], Train_PSNR: 32.24, Val_PSNR: 26.02, Val_SSIM: 0.9400
Date: 2022-07-14 21:24:42s, Time_Cost: 103s, Epoch: [136/300], Train_PSNR: 32.25, Val_PSNR: 25.24, Val_SSIM: 0.9374
