Date: 2022-07-20 15:49:50s, Time_Cost: 124s, Epoch: [62/250], Train_PSNR: 29.02, Val_PSNR: 26.62, Val_SSIM: 0.9329
Date: 2022-07-20 15:51:52s, Time_Cost: 122s, Epoch: [63/250], Train_PSNR: 29.04, Val_PSNR: 26.69, Val_SSIM: 0.9336
Date: 2022-07-20 15:53:56s, Time_Cost: 124s, Epoch: [64/250], Train_PSNR: 29.05, Val_PSNR: 26.58, Val_SSIM: 0.9335
Date: 2022-07-20 15:55:59s, Time_Cost: 123s, Epoch: [65/250], Train_PSNR: 29.07, Val_PSNR: 26.51, Val_SSIM: 0.9327
Date: 2022-07-20 15:58:02s, Time_Cost: 123s, Epoch: [66/250], Train_PSNR: 29.08, Val_PSNR: 26.63, Val_SSIM: 0.9331
Date: 2022-07-20 16:00:05s, Time_Cost: 123s, Epoch: [67/250], Train_PSNR: 29.10, Val_PSNR: 26.44, Val_SSIM: 0.9321
Date: 2022-07-20 16:02:09s, Time_Cost: 124s, Epoch: [68/250], Train_PSNR: 29.11, Val_PSNR: 26.40, Val_SSIM: 0.9319
Date: 2022-07-20 16:04:13s, Time_Cost: 124s, Epoch: [69/250], Train_PSNR: 29.11, Val_PSNR: 26.30, Val_SSIM: 0.9320
Date: 2022-07-20 16:06:17s, Time_Cost: 123s, Epoch: [70/250], Train_PSNR: 29.13, Val_PSNR: 26.54, Val_SSIM: 0.9333
Date: 2022-07-20 16:08:20s, Time_Cost: 123s, Epoch: [71/250], Train_PSNR: 29.14, Val_PSNR: 26.33, Val_SSIM: 0.9312
Date: 2022-07-20 16:10:22s, Time_Cost: 123s, Epoch: [72/250], Train_PSNR: 29.16, Val_PSNR: 26.37, Val_SSIM: 0.9316
Date: 2022-07-20 16:12:26s, Time_Cost: 124s, Epoch: [73/250], Train_PSNR: 29.16, Val_PSNR: 26.52, Val_SSIM: 0.9322
Date: 2022-07-20 16:14:30s, Time_Cost: 124s, Epoch: [74/250], Train_PSNR: 29.18, Val_PSNR: 26.42, Val_SSIM: 0.9318
Date: 2022-07-20 16:16:34s, Time_Cost: 124s, Epoch: [75/250], Train_PSNR: 29.18, Val_PSNR: 26.44, Val_SSIM: 0.9320
Date: 2022-07-20 16:18:39s, Time_Cost: 125s, Epoch: [76/250], Train_PSNR: 29.19, Val_PSNR: 26.37, Val_SSIM: 0.9316
Date: 2022-07-20 16:20:42s, Time_Cost: 123s, Epoch: [77/250], Train_PSNR: 29.20, Val_PSNR: 26.41, Val_SSIM: 0.9323
Date: 2022-07-20 16:22:45s, Time_Cost: 123s, Epoch: [78/250], Train_PSNR: 29.21, Val_PSNR: 26.51, Val_SSIM: 0.9323
Date: 2022-07-20 16:24:48s, Time_Cost: 123s, Epoch: [79/250], Train_PSNR: 29.21, Val_PSNR: 26.53, Val_SSIM: 0.9328
Date: 2022-07-20 16:26:51s, Time_Cost: 123s, Epoch: [80/250], Train_PSNR: 29.23, Val_PSNR: 26.37, Val_SSIM: 0.9318
Date: 2022-07-20 16:28:53s, Time_Cost: 122s, Epoch: [81/250], Train_PSNR: 29.23, Val_PSNR: 26.38, Val_SSIM: 0.9316
Date: 2022-07-20 16:30:55s, Time_Cost: 122s, Epoch: [82/250], Train_PSNR: 29.23, Val_PSNR: 26.32, Val_SSIM: 0.9314
Date: 2022-07-20 16:32:58s, Time_Cost: 123s, Epoch: [83/250], Train_PSNR: 29.24, Val_PSNR: 26.33, Val_SSIM: 0.9318
